course_id,grade,lesson_id,step_id,remedial,source,prompt,correct_option,correct_length,longest_wrong_length,longest_option_leak,punctuation_leak,blind_guess_test,distractor_taxonomy,unmapped_distractors,distractor_quality,decision
absolute-value-piecewise,9,avp-01-01,k1,no,content/courses/absolute-value-piecewise/lessons/avp-01-01.json,Which number is FARTHER from 0: −6 or 4?,"−6, because |−6| = 6",20,31,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-01,k3,no,content/courses/absolute-value-piecewise/lessons/avp-01-01.json,Which has the GREATER absolute value: −7 or 5?,−7,2,42,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-01,rem-avp-abs-distance-k,yes,content/courses/absolute-value-piecewise/lessons/avp-01-01.json,Which number is FARTHER from 0: −6 or 4?,"−6, because |−6| = 6",20,31,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-02,k1,no,content/courses/absolute-value-piecewise/lessons/avp-01-02.json,What is the LOWEST point on y = |x|?,"(0, 0) — the vertex",19,36,no,no,PASS,authored-specific-rationale|representation-read,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-02,k3,no,content/courses/absolute-value-piecewise/lessons/avp-01-02.json,"On y = |x|, compare the heights at x = −3 and x = 3.",Equal — both 3,14,32,no,yes,FAIL,authored-specific-rationale|representation-read,0,PASS,REMEDIATE
absolute-value-piecewise,9,avp-01-02,rem-avp-v-graph-k,yes,content/courses/absolute-value-piecewise/lessons/avp-01-02.json,What is the LOWEST point on y = |x|?,"(0, 0) — the vertex",19,36,no,no,PASS,authored-specific-rationale|representation-read,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-03,k1,no,content/courses/absolute-value-piecewise/lessons/avp-01-03.json,Where is the vertex of y = |x + 4| + 1?,"(−4, 1)",7,8,no,no,PASS,sign-direction|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-03,k3,no,content/courses/absolute-value-piecewise/lessons/avp-01-03.json,How does y = −|x| + 2 open?,"Downward — a peak at (0, 2)",27,32,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-01-03,rem-avp-v-transform-k,yes,content/courses/absolute-value-piecewise/lessons/avp-01-03.json,Where is the vertex of y = |x + 4| + 1?,"(−4, 1)",7,8,no,no,PASS,sign-direction|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-01,k1,no,content/courses/absolute-value-piecewise/lessons/avp-02-01.json,Solving |x| = 7 correctly means writing which pair of equations?,x = 7 or x = −7,15,15,no,no,PASS,unit-conversion|unit-conversion,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-01,k3,no,content/courses/absolute-value-piecewise/lessons/avp-02-01.json,Is x = −2 a solution of |x − 1| = 4?,"No — it gives 3, not 4",22,55,no,no,PASS,sign-direction|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-01,rem-avp-abs-equations-k,yes,content/courses/absolute-value-piecewise/lessons/avp-02-01.json,Solving |x| = 7 correctly means writing which pair of equations?,x = 7 or x = −7,15,15,no,no,PASS,unit-conversion|unit-conversion,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-02,k1,no,content/courses/absolute-value-piecewise/lessons/avp-02-02.json,How many solutions does |x − 7| = −3 have?,None,4,16,no,no,PASS,sign-direction|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-02,k3,no,content/courses/absolute-value-piecewise/lessons/avp-02-02.json,"Graphically, why does |x| = −2 have no solutions?","The line y = −2 passes below the V, which never dips under the x-axis",69,37,yes,no,FAIL,representation-read|sign-direction,0,PASS,REMEDIATE
absolute-value-piecewise,9,avp-02-02,rem-avp-solution-count-k,yes,content/courses/absolute-value-piecewise/lessons/avp-02-02.json,How many solutions does |x − 7| = −3 have?,None,4,16,no,no,PASS,sign-direction|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-03,k1,no,content/courses/absolute-value-piecewise/lessons/avp-02-03.json,Which is equivalent to |x| < 5?,−5 < x < 5,10,15,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-03,k2,no,content/courses/absolute-value-piecewise/lessons/avp-02-03.json,Which is equivalent to |x| ≥ 2?,x ≤ −2 or x ≥ 2,15,10,no,no,PASS,authored-specific-rationale|unit-conversion,0,PASS,KEEP
absolute-value-piecewise,9,avp-02-03,rem-avp-abs-inequalities-k,yes,content/courses/absolute-value-piecewise/lessons/avp-02-03.json,Which is equivalent to |x| < 5?,−5 < x < 5,10,15,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-03-01,k1,no,content/courses/absolute-value-piecewise/lessons/avp-03-01.json,"f(x) = x + 5 for x < 0, and f(x) = 2x + 1 for x ≥ 0. What is f(−3)?",2,1,13,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-03-01,k3,no,content/courses/absolute-value-piecewise/lessons/avp-03-01.json,Why must the conditions of a piecewise rule never overlap?,"Because an input in both would receive two outputs, and functions give one",74,48,yes,no,FAIL,authored-specific-rationale|authored-specific-rationale,0,PASS,REMEDIATE
absolute-value-piecewise,9,avp-03-01,rem-avp-piecewise-define-k,yes,content/courses/absolute-value-piecewise/lessons/avp-03-01.json,"f(x) = x + 5 for x < 0, and f(x) = 2x + 1 for x ≥ 0. What is f(−3)?",2,1,13,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-03-02,k2,no,content/courses/absolute-value-piecewise/lessons/avp-03-02.json,Is that f continuous at x = 1?,No — it jumps from a height of 4 down to 2,42,47,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
absolute-value-piecewise,9,avp-03-03,k2,no,content/courses/absolute-value-piecewise/lessons/avp-03-03.json,Which pair of letters costs the SAME under that rule?,2.1 oz and 2.9 oz,17,17,no,no,PASS,authored-specific-rationale|authored-specific-rationale,0,PASS,KEEP
add-subtract-10-k,0,koa-01-05,k1,no,content/courses/add-subtract-10-k/lessons/koa-01-05.json,3 birds sit on a branch. 2 more birds land. Which sentence shows this?,3 + 2 = 5,9,9,no,no,PASS,authored-specific-rationale|sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-01-05,k3,no,content/courses/add-subtract-10-k/lessons/koa-01-05.json,2 birds sit on a branch. 6 more birds land. Which sentence shows this?,2 + 6 = 8,9,9,no,no,PASS,sign-direction|authored-specific-rationale|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-01-05,rem-koa-write-addition-k,yes,content/courses/add-subtract-10-k/lessons/koa-01-05.json,3 birds sit on a branch. 2 more birds land. Which sentence shows this?,3 + 2 = 5,9,9,no,no,PASS,authored-specific-rationale|sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-02-04,k1,no,content/courses/add-subtract-10-k/lessons/koa-02-04.json,7 frogs sit on a log. 2 hop away. Which sentence shows this?,7 − 2 = 5,9,9,no,no,PASS,sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-02-04,k2,no,content/courses/add-subtract-10-k/lessons/koa-02-04.json,9 frogs sit on a log. 3 hop away. Which sentence shows this?,9 − 3 = 6,9,10,no,no,PASS,sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-02-04,k3,no,content/courses/add-subtract-10-k/lessons/koa-02-04.json,5 frogs sit on a log. 1 hop away. Which sentence shows this?,5 − 1 = 4,9,9,no,no,PASS,sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-02-04,ch1,no,content/courses/add-subtract-10-k/lessons/koa-02-04.json,8 frogs sit on a log. 6 hop away. Which sentence shows this?,8 − 6 = 2,9,10,no,no,PASS,sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-02-04,rem-koa-write-subtraction-k,yes,content/courses/add-subtract-10-k/lessons/koa-02-04.json,7 frogs sit on a log. 2 hop away. Which sentence shows this?,7 − 2 = 5,9,9,no,no,PASS,sign-direction|sign-direction,0,PASS,KEEP
add-subtract-10-k,0,koa-03-04,k1,no,content/courses/add-subtract-10-k/lessons/koa-03-04.json,5 ducks swim in a pond. 2 more ducks swim over. What should you do to find how many ducks are in the pond?,Add,3,24,no,no,PASS,inside-vs-derivative|inside-vs-derivative,0,PASS,KEEP
add-subtract-10-k,0,koa-03-04,k2,no,content/courses/add-subtract-10-k/lessons/koa-03-04.json,9 ducks swim in a pond. 3 ducks fly away. What should you do to find how many ducks are left?,Subtract,8,35,no,no,PASS,inside-vs-derivative|inside-vs-derivative,0,PASS,KEEP
add-subtract-10-k,0,koa-03-04,k3,no,content/courses/add-subtract-10-k/lessons/koa-03-04.json,4 ducks swim in a pond. 4 more ducks swim over. What should you do to find how many ducks are in the pond?,Add,3,24,no,no,PASS,inside-vs-derivative|inside-vs-derivative,0,PASS,KEEP
